Target_gene	Vulnerability_gene	Length_of_shortest_path	Number_of_shortest_paths	TVIS_score	DGIdb_interaction_score
PRKDC	CR2	2	2	2.0239506220814633e-05	8.12
PRKDC	IL36A	2	3	5.117478834618998e-06	8.12
PRKDC	KRT35	3	4157	1.1914266791314406e-05	8.12
PRKDC	MVD	3	3	3.536920549191597e-07	8.12
PRKDC	RAMP1	3	2919	8.347364723148506e-06	8.12
PRKDC	RAC1	2	37	1.438509159118755e-05	8.12
PRKDC	IFNA8	2	26	1.6320211714207292e-05	8.12
PRKDC	SLC19A3	3	1	5.3843847672739676e-08	8.12
PRKDC	SHARPIN	2	1	2.0964624292968047e-06	8.12
PRKDC	NPY2R	3	683	8.595698791264664e-07	8.12
PRKDC	CTSD	2	5	8.275645972255812e-06	8.12
PRKDC	ASNS	4	24672	8.779098137720092e-07	8.12
PRKDC	NHLRC1	2	19	0.00018079491285784524	8.12
PRKDC	NME1-NME2	3	622	1.6905260408245603e-06	8.12
PRKDC	AMT	3	34	5.510953977485387e-07	8.12
PRKDC	FANCB	2	1	2.8447883477469277e-05	8.12
PRKDC	SRD5A1	3	6	3.2673146651240844e-07	8.12
PRKDC	PPIF	3	5761	9.292245732598649e-06	8.12
PRKDC	PLA2G5	2	1	1.6242784143144408e-06	8.12
PRKDC	EXTL3	0	0	0	8.12
PRKDC	CAV3	2	7	7.6160499506782885e-06	8.12
PRKDC	DSE	0	0	0	8.12
PRKDC	IL10RA	2	10	1.3848659008325405e-05	8.12
PRKDC	FCER1G	2	1	1.092530803906016e-06	8.12
PRKDC	ATP6V1G2	2	2	3.1801153426495784e-06	8.12
PRKDC	TAF11	2	2	0.00011745360582569885	8.12
PRKDC	MSI2	3	989	6.694206660119378e-06	8.12
PRKDC	HNRNPK	3	116	5.984462880709621e-07	8.12
PRKDC	PAFAH2	3	111	8.874798014608353e-07	8.12
PRKDC	CXCL10	2	5	5.122743314710962e-06	8.12
PRKDC	KSR1	2	1	3.871077630590804e-06	8.12
PRKDC	PLA2G12B	2	1	1.6242784143144408e-06	8.12
PRKDC	GAL3ST1	3	143	8.875575924783867e-07	8.12
PRKDC	GRB10	2	2	9.668404363894354e-06	8.12
PRKDC	SLC17A6	3	3305	5.103519860472915e-06	8.12
PRKDC	SMAD3	1	1	0.000970873786407767	8.12
PRKDC	EPS15	2	3	6.2833217729429554e-06	8.12
PRKDC	NRP1	2	2	6.883342520474489e-06	8.12
PRKDC	KLRC4-KLRK1	3	3391	1.2954479479384307e-05	8.12
PRKDC	FLOT2	2	1	2.6052657631605e-06	8.12
PRKDC	CYP2R1	4	2467	1.9898880606571405e-07	8.12
PRKDC	PTGER2	2	2	1.8192336660105297e-06	8.12
PRKDC	MARS1	4	1486	4.9573248828134355e-08	8.12
PRKDC	ACSL5	2	1	1.6449803424849073e-06	8.12
PRKDC	B3GALNT1	4	1271	1.2567615955184878e-07	8.12
PRKDC	RASA4	2	1	3.871077630590804e-06	8.12
PRKDC	XBP1	2	3	1.2398742241998359e-05	8.12
